"date","close","open","high","low","volume","change"
"2023-9-28","15.8098","15.3413","15.9667","15.3209","557.27K","3.05%"
"2023-9-27","15.3413","15.1199","15.7204","15.0605","567.31K","1.53%"
"2023-9-26","15.1107","15.2299","15.2794","14.9237","327.76K","-0.78%"
"2023-9-25","15.2299","15.0905","15.3401","15.0089","253.94K","0.92%"
"2023-9-24","15.0905","15.2605","15.3896","15.0217","227.11K","-1.11%"
"2023-9-23","15.2605","15.1899","15.2889","15.1317","142.04K","0.46%"
"2023-9-22","15.1899","15.2192","15.3280","15.1010","161.43K","-0.19%"
"2023-9-21","15.2192","15.5821","15.6405","15.0883","403.45K","-2.33%"
"2023-9-20","15.5821","15.7500","15.7896","15.4160","279.98K","-1.07%"
"2023-9-19","15.7500","15.6895","15.9681","15.6101","331.53K","0.39%"
"2023-9-18","15.6895","15.4190","16.0200","15.2719","543.36K","1.75%"
"2023-9-17","15.4190","15.6591","15.6591","15.2064","229.19K","-1.53%"
"2023-9-16","15.6591","15.6888","15.9588","15.4990","260.19K","-0.19%"
"2023-9-15","15.6888","15.2595","15.8196","15.2102","327.35K","2.81%"
"2023-9-14","15.2595","15.1581","15.3493","15.0119","284.28K","0.67%"
"2023-9-13","15.1581","14.9717","15.2201","14.8509","306.42K","1.25%"
"2023-9-12","14.9717","14.7120","15.2719","14.6820","481.88K","1.76%"
"2023-9-11","14.7120","15.0807","15.1804","14.4457","605.60K","-2.44%"
"2023-9-10","15.0801","15.4005","15.4093","14.7297","437.62K","-2.08%"
"2023-9-9","15.4005","15.4291","15.5089","15.3510","109.00K","-0.19%"
"2023-9-8","15.4291","15.5803","15.6592","15.2277","230.39K","-0.97%"
"2023-9-7","15.5803","15.4899","15.6793","15.3404","208.76K","0.58%"
"2023-9-6","15.4899","15.3901","15.6688","15.1833","300.59K","0.65%"
"2023-9-5","15.3901","15.3705","15.4389","15.1409","205.67K","0.13%"
"2023-9-4","15.3705","15.3801","15.5500","15.1808","200.39K","-0.06%"
"2023-9-3","15.3801","15.4505","15.5299","15.2399","155.34K","-0.46%"
"2023-9-2","15.4505","15.3724","15.5237","15.2896","200.24K","0.51%"
"2023-9-1","15.3724","15.5287","15.6312","15.2410","339.07K","-1.01%"
"2023-8-31","15.5287","16.0201","16.1999","15.2422","723.01K","-3.07%"
"2023-8-30","16.0201","16.8893","16.9091","15.9911","825.53K","-5.15%"
"2023-8-29","16.8893","15.9093","17.1805","15.5894","1.26M","6.14%"
"2023-8-28","15.9121","16.0191","16.0280","15.6183","247.04K","-0.67%"
"2023-8-27","16.0191","15.8610","16.0606","15.7692","215.93K","1.00%"
"2023-8-26","15.8610","16.0092","16.0885","15.7506","115.23K","-0.93%"
"2023-8-25","16.0092","16.0406","16.1009","15.7418","248.41K","-0.25%"
"2023-8-24","16.0497","16.2000","16.2311","15.8016","301.82K","-0.93%"
"2023-8-23","16.2000","15.5188","16.2371","15.4821","509.16K","4.39%"
"2023-8-22","15.5188","15.7895","15.8396","14.9450","369.96K","-1.71%"
"2023-8-21","15.7895","15.5689","15.9294","15.3452","796.31K","1.42%"
"2023-8-20","15.5689","15.5601","15.6417","15.3476","167.23K","0.06%"
"2023-8-19","15.5601","15.4304","15.7282","15.2922","264.52K","0.84%"
"2023-8-18","15.4304","14.9418","15.8387","14.9168","883.17K","3.25%"
"2023-8-17","14.9450","16.2512","16.3901","13.5159","1.41M","-8.04%"
"2023-8-16","16.2512","16.7206","16.7501","15.8224","673.25K","-2.81%"
"2023-8-15","16.7206","17.5106","17.5198","16.1876","808.98K","-4.51%"
"2023-8-14","17.5106","17.5304","17.6395","17.3899","183.12K","-0.11%"
"2023-8-13","17.5304","17.7397","17.8099","17.4686","167.77K","-1.13%"
"2023-8-12","17.7299","17.6398","17.7497","17.6103","84.75K","0.51%"
"2023-8-11","17.6398","17.7398","17.7599","17.5702","108.31K","-0.56%"
"2023-8-10","17.7398","17.8505","17.8796","17.6503","186.70K","-0.62%"
"2023-8-9","17.8505","17.9493","18.0598","17.6933","308.80K","-0.55%"
"2023-8-8","17.9493","17.7097","18.1124","17.6006","481.62K","1.35%"
"2023-8-7","17.7099","17.8306","18.0092","17.2835","456.77K","-0.68%"
