"date","close","open","high","low","volume","change"
"2023-3-9","17.341","18.410","18.745","16.819","12.51M","-5.81%"
"2023-3-8","18.410","20.236","20.380","18.214","9.32M","-9.02%"
"2023-3-7","20.236","20.610","20.950","19.732","5.23M","-1.81%"
"2023-3-6","20.610","20.970","21.140","20.490","3.70M","-1.74%"
"2023-3-5","20.974","20.988","21.663","20.850","3.06M","-0.07%"
"2023-3-4","20.988","21.423","21.598","20.330","2.20M","-2.03%"
"2023-3-3","21.423","21.997","22.017","20.470","5.33M","-2.61%"
"2023-3-2","21.997","22.520","22.633","21.680","3.17M","-2.32%"
"2023-3-1","22.520","21.880","22.854","21.670","3.37M","2.93%"
"2023-2-28","21.880","22.677","22.740","21.784","3.45M","-3.52%"
"2023-2-27","22.677","23.274","23.400","22.337","5.08M","-2.56%"
"2023-2-26","23.274","22.377","23.514","22.223","3.56M","4.00%"
"2023-2-25","22.378","23.080","23.310","21.508","5.47M","-3.04%"
"2023-2-24","23.080","23.912","24.118","22.526","6.20M","-3.50%"
"2023-2-23","23.918","24.162","24.680","23.626","5.59M","-1.01%"
"2023-2-22","24.162","24.980","25.210","23.252","9.48M","-3.27%"
"2023-2-21","24.980","26.260","26.598","24.617","8.79M","-4.82%"
"2023-2-20","26.245","24.860","27.043","24.214","13.67M","5.53%"
"2023-2-19","24.869","23.453","25.584","23.228","10.60M","6.04%"
"2023-2-18","23.453","23.148","23.905","22.932","3.53M","1.32%"
"2023-2-17","23.148","22.282","23.535","22.077","6.07M","3.83%"
"2023-2-16","22.293","23.880","24.133","22.227","9.34M","-6.65%"
"2023-2-15","23.880","21.840","23.930","21.462","7.47M","9.33%"
"2023-2-14","21.842","20.774","22.306","20.684","9.76M","5.13%"
"2023-2-13","20.777","21.500","21.569","19.780","8.57M","-3.37%"
"2023-2-12","21.502","20.813","22.364","20.630","5.91M","3.31%"
"2023-2-11","20.813","20.122","20.901","20.102","2.61M","3.43%"
"2023-2-10","20.122","20.480","21.190","19.699","7.25M","-1.75%"
"2023-2-9","20.480","23.215","23.342","20.065","8.53M","-11.78%"
"2023-2-8","23.215","23.832","24.180","22.832","5.16M","-2.56%"
"2023-2-7","23.825","22.652","23.937","22.568","6.46M","5.18%"
